Iteracion,Tiempo de ejecucion (ms),Paquetes entregados,Porcentaje de paquetes entregados,Paquetes no entregados
0,27355,157,83.51%,31
1,24517,153,81.38%,35
2,23284,160,85.11%,28
3,28428,152,80.85%,36
4,26041,148,78.72%,40
5,24103,158,84.04%,30
6,25247,159,84.57%,29
7,25701,146,77.66%,42
8,23231,157,83.51%,31
9,25693,155,82.45%,33
10,25115,149,79.26%,39
11,25827,148,78.72%,40
12,26035,147,78.19%,41
13,27062,153,81.38%,35
14,25645,154,81.91%,34
15,23306,153,81.38%,35
16,23195,157,83.51%,31
17,23377,153,81.38%,35
18,24388,160,85.11%,28
19,25361,142,75.53%,46
20,24285,154,81.91%,34
21,26062,153,81.38%,35
22,27812,149,79.26%,39
23,23082,157,83.51%,31
24,26311,147,78.19%,41
25,23234,155,82.45%,33
26,25838,155,82.45%,33
27,23340,158,84.04%,30
28,26265,145,77.13%,43
29,25694,146,77.66%,42
